Tarih,Fiyat
2014-03-28,91.256
2014-03-30,90.744
2014-03-31,88.322
2014-04-01,88.014
2014-04-02,88.327
2014-04-03,88.183
2014-04-04,88.569
2014-04-06,88.641
2014-04-07,88.174
2014-04-08,88.225
2014-04-09,88.613
2014-04-10,89.501
2014-04-11,89.585
2014-04-13,90.342
2014-04-14,90.453
2014-04-15,89.772
2014-04-16,89.533
2014-04-17,88.566
2014-04-20,88.484
2014-04-21,88.45
2014-04-22,88.503
2014-04-23,88.835
2014-04-24,88.647
2014-04-25,89.4
2014-04-27,89.569
2014-04-28,88.742
2014-04-29,88.398
2014-04-30,87.727
2014-05-01,86.988
2014-05-02,87.878
2014-05-04,88.006
2014-05-05,88.537
2014-05-06,87.848
2014-05-07,86.355
2014-05-08,86.198
2014-05-09,86.07
2014-05-11,85.709
2014-05-12,86.73
2014-05-13,86.119
2014-05-14,86.937
2014-05-15,87.494
2014-05-16,87.248
2014-05-18,87.132
2014-05-19,87.183
2014-05-20,87.965
2014-05-21,87.08
2014-05-22,86.633
2014-05-23,86.524
2014-05-25,86.438
2014-05-26,86.549
2014-05-27,85.39
2014-05-28,84.821
2014-05-29,84.383
2014-05-30,84.258
2014-06-01,84.1
2014-06-02,84.392
2014-06-03,84.803
2014-06-04,84.633
2014-06-05,84.524
2014-06-06,83.706
2014-06-08,83.74
2014-06-09,83.991
2014-06-10,84.242
2014-06-11,85.742
2014-06-12,86.48
2014-06-13,87.175
2014-06-15,87.364
2014-06-16,87.693
2014-06-17,87.845
2014-06-18,87.359
2014-06-19,90.558
2014-06-20,90.468
2014-06-22,90.651
2014-06-23,90.25
2014-06-24,90.814
2014-06-25,90.356
2014-06-26,89.933
2014-06-27,89.805
2014-06-29,89.829
2014-06-30,90.343
2014-07-01,90.719
2014-07-02,90.792
2014-07-03,90.313
2014-07-04,90.601
2014-07-06,90.341
2014-07-07,90.226
2014-07-08,90.063
2014-07-09,90.265
2014-07-10,91.227
2014-07-11,91.118
2014-07-13,91.263
2014-07-14,89.096
2014-07-15,88.458
2014-07-16,88.613
2014-07-17,90.842
2014-07-18,89.489
2014-07-20,89.566
2014-07-21,89.316
2014-07-22,88.595
2014-07-23,87.573
2014-07-24,86.971
2014-07-25,88.066
2014-07-27,87.933
2014-07-28,88.012
2014-07-29,88.338
2014-07-30,88.934
2014-07-31,88.355
2014-08-01,88.701
2014-08-03,88.737
2014-08-04,88.262
2014-08-05,89.181
2014-08-06,90.695
2014-08-07,91.453
2014-08-08,90.424
2014-08-11,90.402
2014-08-12,91.064
2014-08-13,90.93
2014-08-14,90.898
2014-08-15,90.918
2014-08-17,90.737
2014-08-18,90.319
2014-08-19,90.092
2014-08-20,90.6
2014-08-21,89.473
2014-08-22,89.566
2014-08-24,89.557
2014-08-25,89.412
2014-08-26,89.218
2014-08-27,88.916
2014-08-28,89.65
2014-08-29,89.526
2014-08-31,89.413
2014-09-01,89.329
2014-09-02,88.531
2014-09-03,88.123
2014-09-04,87.593
2014-09-05,88.069
2014-09-07,87.937
2014-09-08,87.77
2014-09-09,88.649
2014-09-10,88.073
2014-09-11,87.737
2014-09-12,87.76
2014-09-14,87.735
2014-09-15,87.787
2014-09-16,87.521
2014-09-17,87.705
2014-09-18,87.65
2014-09-19,87.366
2014-09-21,87.39
2014-09-22,87.537
2014-09-23,87.918
2014-09-24,87.472
2014-09-25,88.877
2014-09-26,88.573
2014-09-28,88.605
2014-09-29,89.187
2014-09-30,88.501
2014-10-01,89.244
2014-10-02,88.483
2014-10-03,87.874
2014-10-05,87.493
2014-10-06,88.001
2014-10-07,88.512
2014-10-08,88.74
2014-10-09,89.33
2014-10-10,90.013
2014-10-12,90.456
2014-10-13,90.223
2014-10-14,89.869
2014-10-15,90.558
2014-10-16,90.075
2014-10-17,89.405
2014-10-19,89.181
2014-10-20,89.861
2014-10-21,90.11
2014-10-22,89.752
2014-10-23,88.533
2014-10-24,88.301
2014-10-26,88.149
2014-10-27,87.927
2014-10-28,87.214
2014-10-29,86.385
2014-10-30,84.863
2014-10-31,83.814
2014-11-02,83.544
2014-11-03,83.721
2014-11-04,83.513
2014-11-05,82.55
2014-11-06,83.117
2014-11-07,85.454
2014-11-09,84.967
2014-11-10,83.926
2014-11-11,84.306
2014-11-12,83.887
2014-11-13,83.71
2014-11-14,85.23
2014-11-16,84.802
2014-11-17,85.11
2014-11-18,85.348
2014-11-19,84.897
2014-11-20,85.217
2014-11-21,85.833
2014-11-23,85.862
2014-11-24,85.837
2014-11-25,85.727
2014-11-26,85.119
2014-11-27,84.413
2014-11-28,83.353
2014-11-30,82.245
2014-12-01,85.88
2014-12-02,85.93
2014-12-03,87.015
2014-12-04,86.55
2014-12-05,86.694
2014-12-07,86.432
2014-12-08,87.759
2014-12-09,89.563
2014-12-10,89.561
2014-12-11,89.903
2014-12-12,90.363
2014-12-14,90.527
2014-12-15,90.787
2014-12-16,90.997
2014-12-17,89.468
2014-12-18,89.429
2014-12-19,88.918
2014-12-21,88.959
2014-12-22,87.361
2014-12-23,87.956
2014-12-24,87.5
2014-12-25,87.774
2014-12-26,89.128
2014-12-28,89.084
2014-12-29,88.085
2014-12-30,89.751
2014-12-31,88.769
2015-01-01,89.02
2015-01-02,89.601
2015-01-04,89.222
2015-01-05,90.208
2015-01-06,90.931
2015-01-07,90.4
2015-01-08,89.329
2015-01-09,90.245
2015-01-11,90.429
2015-01-12,90.479
2015-01-13,90.537
2015-01-14,90.347
2015-01-15,93.699
2015-01-16,95.819
2015-01-18,95.916
2015-01-19,95.723
2015-01-20,97.534
2015-01-21,97.625
2015-01-22,97.341
2015-01-23,97.787
2015-01-25,98.588
2015-01-26,96.99
2015-01-27,98.348
2015-01-28,98.668
2015-01-29,97.974
2015-01-30,100.761
2015-02-01,100.63
2015-02-02,99.662
2015-02-03,97.454
2015-02-04,100.677
2015-02-05,99.187
2015-02-06,98.146
2015-02-08,98.42
2015-02-09,98.608
2015-02-10,99.009
2015-02-11,98.087
2015-02-12,97.121
2015-02-13,97.121
2015-02-15,97.106
2015-02-16,97.303
2015-02-17,95.406
2015-02-18,95.364
2015-02-19,95.44
2015-02-20,94.891
2015-02-22,94.993
2015-02-23,95.719
2015-02-24,95.472
2015-02-25,96.441
2015-02-26,97.506
2015-02-27,97.824
2015-03-01,97.872
2015-03-02,97.871
2015-03-03,98.203
2015-03-04,99.142
2015-03-05,100.624
2015-03-06,98.534
2015-03-08,98.726
2015-03-09,97.675
2015-03-10,98.667
2015-03-11,97.081
2015-03-12,96.018
2015-03-13,98.288
2015-03-15,98.123
2015-03-16,97.592
2015-03-17,96.63
2015-03-18,96.935
2015-03-19,98.115
2015-03-20,97.874
2015-03-22,98.4
2015-03-23,97.244
2015-03-24,97.981
2015-03-25,99.4
2015-03-26,100.798
2015-03-27,100.642
2015-03-29,100.605
2015-03-30,99.382
2015-03-31,98.896
2015-04-01,100.599
2015-04-02,99.925
