date,Fiyat,EMA_14,SMA_50,SMA_200,RSI_14,SMA_20,std_dev,Upper_Band,Lower_Band
2016-12-23,128.135,128.76719616718754,129.99058000000002,125.816885,50.318576748034744,129.70805,2.0566972879397647,133.82144457587953,125.59465542412046
2016-12-26,127.988,128.66330334489587,130.0095,125.85539,40.535576179427665,129.5028,2.0104739582621565,133.52374791652431,125.4818520834757
2016-12-27,129.043,128.71392956557642,130.04106000000002,125.89420999999999,46.974579305406415,129.2986,1.8215196489709033,132.9416392979418,125.65556070205818
2016-12-28,129.958,128.87980562349958,130.08288000000002,125.93925500000002,46.02277904328022,129.0692,1.3550656849519862,131.77933136990396,126.35906863009602
2016-12-29,131.244,129.1950315403663,130.16639999999998,125.99790999999999,55.965733462863206,129.00215,1.1957567203317678,131.39366344066354,126.61063655933647
2016-12-30,130.679,129.3928940016508,130.20066,126.0514,52.781558353181346,129.0579,1.2481741992154056,131.5542483984308,126.56155160156918
2017-01-02,131.077,129.61744146809735,130.2222,126.1001,54.538696621789015,129.20884999999998,1.302266941471758,131.8133838829435,126.60431611705647
2017-01-03,133.668,130.1575159390177,130.28653999999997,126.1651,76.61028247646036,129.39495,1.6362673978835376,132.66748479576708,126.12241520423292
2017-01-04,133.865,130.6518471471487,130.31504,126.22635,75.71168988491831,129.60224999999997,1.9178787864413818,133.43800757288273,125.7664924271172
2017-01-05,136.466,131.42706752752886,130.43086,126.29982,80.9225065944251,129.88400000000001,2.4484205220181896,134.7808410440364,124.98715895596364
2017-01-06,137.393,132.222525190525,130.56534,126.37675000000002,79.9775533108867,130.25900000000001,2.968900186230214,136.19680037246044,124.32119962753958
2017-01-08,137.505,132.92685516512168,130.72474,126.45372000000002,87.66333901469048,130.63299999999998,3.3804798631661077,137.39395972633218,123.87204027366776
2017-01-09,141.212,134.03154114310547,130.91436000000002,126.55406500000001,93.89683515630057,131.19469999999998,4.1186438506418,139.4319877012836,122.95741229871638
2017-01-10,144.879,135.4778689906914,131.1772,126.67446999999999,96.2302112564198,132.0746,5.019749704392186,142.11409940878437,122.03510059121564
2017-01-11,148.678,137.2378864585992,131.5849,126.81891,96.75877452542454,133.1124,6.137237861483764,145.38687572296755,120.83792427703249
2017-01-12,144.81,138.24750159745264,131.91559999999998,126.943645,82.7429149797571,133.96335,6.528005710419688,147.01936142083937,120.90733857916061
2017-01-13,143.402,138.93476805112562,132.19407999999999,127.05889,77.56998579163623,134.66445000000002,6.758746788811675,148.18194357762337,121.14695642237666
2017-01-15,144.683,139.7011989776422,132.49215999999998,127.20142,77.8808649221797,135.4874,6.933061596058838,149.35352319211768,121.62127680788234
2017-01-16,147.448,140.73410578062325,132.82201999999998,127.35984,79.05400559420497,136.47745,7.164457664677532,150.80636532935506,122.14853467064493
2017-01-17,146.988,141.56795834320684,133.12448,127.5175,79.35279507577117,137.45605,7.198202425277619,151.85245485055523,123.05964514944476
2017-01-18,147.278,142.32929723077925,133.45384,127.676475,79.27221479420369,138.41320000000002,7.166200825660259,152.74560165132053,124.0807983486795
2017-01-19,148.179,143.10925760000868,133.79594,127.84237499999999,77.92402724858557,139.42275,7.041368294623996,153.505486589248,125.34001341075202
2017-01-20,146.518,143.5637565866742,134.10023999999999,128.000205,73.04987794658793,140.2965,6.7643456251770555,153.82519125035412,126.7678087496459
2017-01-22,147.394,144.07445570845098,134.40915999999999,128.160385,71.24251613404863,141.1683,6.479361088548737,154.12702217709747,128.2095778229025
2017-01-23,147.005,144.4651949473242,134.75028,128.32124,69.08354510800503,141.95635,6.159353873112069,154.27505774622412,129.63764225377585
2017-01-24,147.103,144.81690228768096,135.04984000000002,128.48399,69.06634882796978,142.77755,5.650510721911013,154.07857144382203,131.47652855617795
2017-01-25,147.987,145.23958198265683,135.3871,128.642865,65.15863426858189,143.62305,5.03971203725287,153.70247407450574,133.54362592549427
2017-01-26,147.539,145.54617105163592,135.70264,128.79692500000002,56.9531576746131,144.3166,4.525871028700619,153.36834205740124,135.26485794259875
2017-01-27,148.211,145.90148157808449,136.04552,128.956335,48.540716205237224,145.03390000000002,3.8718055478046294,152.77751109560927,137.29028890439076
2017-01-29,148.559,146.25581736767322,136.40952000000001,129.11971000000003,65.01882861950153,145.63854999999998,3.3758591339266664,152.39026826785332,138.88683173214665
2017-01-30,145.373,146.1381083853168,136.72585999999998,129.25854500000003,56.91142436355983,146.03754999999998,2.7666193977698113,151.5707887955396,140.50431120446035
2017-01-31,147.012,146.25462726727457,137.02424,129.40446,57.96675104330573,146.5129,1.9064359942077866,150.32577198841557,142.70002801158444
2017-02-01,146.775,146.32401029830464,137.2972,129.53810000000001,47.2164777897262,146.79104999999998,1.4414406709628493,149.67393134192568,143.9081686580743
2017-02-02,146.028,146.28454225853068,137.52684,129.66618,46.121525533290225,146.8485,1.3829330577133407,149.6143661154267,144.0826338845733
2017-02-03,144.909,146.10113662405993,137.77332,129.788115,41.02991291177589,146.66005,1.377295117062698,149.41464023412541,143.9054597658746
2017-02-05,145.466,146.01645174085195,138.09135999999998,129.909195,39.45260866184598,146.69285,1.338173314048717,149.36919662809743,144.01650337190256
2017-02-06,146.255,146.04825817540504,138.4553,130.032515,48.903161231128514,146.8355,1.0997245348916598,149.03494906978332,144.63605093021667
2017-02-07,148.282,146.34609041868438,138.82201999999998,130.170085,53.37899543378996,147.01545,1.0205765385622798,149.05660307712455,144.97429692287542
2017-02-08,147.973,146.56301169619314,139.1871,130.29905,53.70597243491583,147.0417,1.0388752571945963,149.11945051438917,144.9639494856108
2017-02-09,145.321,146.39741013670073,139.4769,130.42172,44.29358268220826,146.95835,1.107984289984848,149.17431857996968,144.7423814200303
2017-02-10,146.572,146.42068878514064,139.81047999999998,130.553545,45.572867780489375,146.92305,1.1085106877012774,149.14007137540256,144.70602862459742
2017-02-12,146.101,146.37806361378856,140.132,130.68983500000002,45.507373156710884,146.81914999999998,1.0816550318404836,148.98246006368095,144.655839936319
2017-02-13,144.762,146.16258846528342,140.42768,130.82700499999999,39.65568952072461,146.73135,1.1746572299636286,149.08066445992725,144.38203554007274
2017-02-14,144.286,145.9123766699123,140.76778000000002,130.96381499999998,37.28198107030187,146.57595,1.282969847252238,149.14188969450447,144.01001030549554
2017-02-15,145.012,145.79232644725732,141.10958,131.06960500000002,48.74119534137671,146.47629999999998,1.3246146251926267,149.12552925038523,143.82707074961473
2017-02-16,146.031,145.82414958762303,141.47438,131.1692,46.424666520883484,146.4227,1.3196003023286156,149.0619006046572,143.78349939534277
2017-02-17,144.144,145.60012964260665,141.76966000000002,131.264415,41.440562170603194,146.23055,1.3590352799380432,148.94862055987608,143.5124794401239
2017-02-19,144.341,145.4322456902591,142.092,131.37205,44.30798299480404,146.07065,1.3848723777455352,148.84039475549108,143.30090524450893
2017-02-20,144.204,145.26847959822456,142.42314,131.48154,47.452482474524885,145.8703,1.3482940527357326,148.56688810547146,143.1737118945285
2017-02-21,143.979,145.09654898512795,142.7544,131.58893999999998,44.49463161791932,145.6413,1.253188107025396,148.1476762140508,143.1349237859492
2017-02-22,142.517,144.75260912044422,143.04204,131.67520499999998,36.81760473973767,145.4985,1.4349134762143194,148.36832695242865,142.62867304757137
2017-02-23,143.368,144.56799457105166,143.34964,131.765355,31.10290724503922,145.3163,1.4636825978945505,148.2436651957891,142.38893480421092
2017-02-24,145.828,144.73599529491145,143.68534,131.863835,42.92219362502473,145.26895000000002,1.428914916810864,148.12677983362175,142.41112016637828
2017-02-26,145.407,144.82546258892324,143.99432000000002,131.94951,50.33276582572362,145.2379,1.4182601980894043,148.0744203961788,142.4013796038212
2017-02-27,145.399,144.90193424373348,144.27742,132.03097,44.978165938864635,145.2624,1.4165107389974578,148.09542147799493,142.4293785220051
2017-02-28,145.992,145.047276344569,144.58368000000002,132.118255,49.538174730954964,145.2887,1.4253453912022314,148.13939078240446,142.43800921759555
2017-03-01,146.441,145.23310616529315,144.89096,132.21486,57.69407020438089,145.298,1.4325705640782758,148.16314112815655,142.43285887184345
2017-03-02,148.101,145.61549200992073,145.17962,132.31770999999998,65.77097974369569,145.28895000000003,1.4131678663315148,148.11528573266307,142.462614267337
2017-03-03,147.005,145.8007597419313,145.44242,132.42033,57.994384275972685,145.24055,1.3305653121928678,147.90168062438576,142.57941937561426
2017-03-05,147.689,146.0525251096738,145.66688,132.53936000000002,56.83429513602631,145.35895,1.4390373417891382,148.23702468357828,142.4808753164217
2017-03-06,146.463,146.10725509505065,145.84828000000002,132.64433,60.109861365419754,145.3535,1.4344003515169566,148.2223007030339,142.48469929696608
2017-03-07,143.89,145.81162108237723,145.97598,132.744475,48.37125315998548,145.24295,1.4587527648502583,148.16045552970053,142.3254444702995
2017-03-08,145.543,145.77580493806028,146.0626,132.822655,54.358440205715745,145.28199999999998,1.4556505508969857,148.19330110179396,142.370698898206
2017-03-09,145.585,145.75036427965225,146.07672,132.91484,55.29055211490312,145.34695,1.4377408255975281,148.22243165119505,142.47146834880493
2017-03-10,144.603,145.5973823756986,145.99522,133.000925,57.096203565110926,145.3265,1.4456428364354825,148.21778567287097,142.43521432712905
